CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2015-07-31,20:07,STATEN ISLAND,10307,40.5130921,-74.2485634,"(40.5130921, -74.2485634)",ARTHUR KILL ROAD                ,JOHNSON AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3269342,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2024-11-07,20:12,BRONX,10455,40.81304,-73.90816,"(40.81304, -73.90816)",E 149 ST,CONCORD AVE,,1.0,0.0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4770551,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-07-26,11:00,QUEENS,11434,40.65616,-73.76736,"(40.65616, -73.76736)",BREWER BOULEVARD                ,ROCKAWAY BOULEVARD,,0.0,0.0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3719056,Sedan,Sedan,,,
2024-05-15,4:00,QUEENS,11377,40.762005,-73.90631,"(40.762005, -73.90631)",,,49-16     28 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4724706,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
2018-02-03,22:34,BROOKLYN,11217,40.68405,-73.97746,"(40.68405, -73.97746)",FLATBUSH AVENUE                 ,ATLANTIC AVENUE,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3839953,Sedan,Station Wagon/Sport Utility Vehicle,,,
2018-12-31,13:20,,,40.63161,-74.135025,"(40.63161, -74.135025)",HEBERTON AVENUE                 ,HATFIELD PLACE,,2.0,0.0,0,0,0,0,2,0,Brakes Defective,Unspecified,,,,4055267,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-03-18,23:30,BROOKLYN,11201,40.690758,-73.99624,"(40.690758, -73.99624)",ATLANTIC AVENUE                 ,HENRY STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4103116,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
2015-04-12,15:20,,,40.6621777,-73.8502387,"(40.6621777, -73.8502387)",,,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3201487,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
2020-11-16,15:00,,,40.744057,-73.88348,"(40.744057, -73.88348)",LAYTON STREET                   ,PETTIT AVENUE,,1.0,0.0,1,0,0,0,0,0,Driver Inexperience,,,,,4368378,Sedan,,,,
2013-03-07,17:00,BROOKLYN,11229,40.6063484,-73.9527245,"(40.6063484, -73.9527245)",OCEAN AVENUE                    ,AVENUE R                        ,,1.0,0.0,0,0,1,0,0,0,Prescription Medication,Unspecified,,,,118428,SPORT UTILITY / STATION WAGON,BICYCLE,,,
2013-06-09,23:20,BROOKLYN,11235,40.5915981,-73.9606815,"(40.5915981, -73.9606815)",CONEY ISLAND AVENUE             ,AVENUE X                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,119165,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2022-03-03,9:20,BROOKLYN,11213,40.66669,-73.93134,"(40.66669, -73.93134)",,,330       UTICA AVENUE,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4507484,Box Truck,Sedan,,,
2015-05-29,12:00,BROOKLYN,11201,40.692846,-73.9931016,"(40.692846, -73.9931016)",CLINTON STREET                  ,JORALEMON STREET                ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3230418,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2013-01-29,9:55,BRONX,10458,40.8672296,-73.8869065,"(40.8672296, -73.8869065)",MARION AVENUE                   ,EAST 198 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,,,,110761,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,
2019-11-21,19:15,,,40.618214,-73.95815,"(40.618214, -73.95815)",EAST 17 STREET                  ,,,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,4245710,Station Wagon/Sport Utility Vehicle,,,,
2018-10-05,10:53,BROOKLYN,11212,40.67211,-73.91124,"(40.67211, -73.91124)",,,1540      EAST NEW YORK AVENUE          ,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Driver Inattention/Distraction,,,,3996128,Station Wagon/Sport Utility Vehicle,Taxi,,,
2018-10-25,15:25,QUEENS,11373,40.73025,-73.887314,"(40.73025, -73.887314)",,,74-17     GRAND AVENUE                  ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4007457,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
2014-10-01,8:10,BROOKLYN,11207,40.6649014,-73.8930528,"(40.6649014, -73.8930528)",LIVONIA AVENUE                  ,NEW JERSEY AVENUE               ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2058404,PASSENGER VEHICLE,BUS,,,
